the,33175
of,18172
a,16328
and,13826
to,12462
is,11832
in,8160
that,6894
this,5201
as,4966
its,4737
it,4720
with,4474
for,4126
but,3899
are,3746
film,3376
not,2857
an,2857
be,2760
movie,2435
on,2302
has,2299
more,2270
by,2257
one,2173
have,2127
than,2043
from,1947
his,1888
at,1812
or,1699
there,1654
about,1641
all,1595
most,1588
i,1579
like,1469
who,1443
which,1332
no,1260
much,1253
theres,1217
so,1189
was,1173
characters,1123
films,1121
when,1109
into,1109
picture,1096
little,1079
while,1069
story,1042
you,1039
only,1030
he,1029
what,1014
isnt,1012
director,1006
if,1004
been,1000
those,998
will,992
some,976
time,965
can,959
even,948
doesnt,934
their,888
too,875
many,843
out,839
two,808
motion,807
her,798
any,788
character,788
good,777
how,772
up,764
however,762
they,761
few,758
we,743
movies,736
life,732
them,731
something,726
these,723
because,707
although,702
best,691
such,682
thats,676
never,664
first,657
plot,653
would,646
other,643
do,611
audience,611
here,603
just,602
way,600
scenes,585
enough,581
between,581
does,580
script,579
screen,562
cast,555
performance,549
nothing,542
dont,541
through,539
make,526
us,520
screenplay,513
both,507
could,502
part,498
love,496
comedy,496
far,493
makes,493
better,492
may,481
my,480
bad,478
get,474
music,468
action,468
moments,467
pictures,457
work,439
without,437
were,435
often,434
humor,423
see,423
might,419
kind,417
had,414
least,413
less,405
lot,404
cinematography,402
things,395
people,395
actors,395
she,393
real,392
great,392
role,389
since,386
well,384
still,382
end,382
new,380
same,380
also,378
acting,377
being,376
fact,375
sense,373
long,370
me,370
almost,367
times,366
seems,365
where,364
very,362
takes,361
made,357
john,356
minutes,353
him,353
anything,352
another,352
last,350
despite,347
level,344
look,342
going,341
every,341
result,340
comes,337
man,335
interesting,334
after,333
during,331
thing,329
dialogue,327
hes,322
really,319
running,316
years,315
rather,315
elements,312
come,310
hard,309
perhaps,308
s,305
especially,304
take,303
funny,303
viewers,300
anyone,300
unfortunately,296
should,296
likely,291
several,291
scene,290
gives,288
obvious,287
either,285
david,285
feature,283
over,283
effective,282
producers,279
different,279
big,278
say,278
before,277
always,277
case,274
find,274
arent,273
probably,273
certain,272
drama,271
down,270
sort,269
cinema,269
difficult,267
performances,265
material,265
original,263
go,263
actor,260
around,260
u,259
occasionally,258
production,257
worth,257
theyre,256
