film,15607
one,9059
movie,8911
like,5977
story,5082
films,4815
would,4610
much,4206
even,3853
time,3547
show,3475
see,3439
director,3398
characters,3311
little,2961
good,2947
picture,2809
many,2675
make,2489
never,2465
could,2446
dont,2415
character,2357
way,2312
script,2256
best,2254
two,2229
doesnt,2191
look,2099
something,2081
theres,2063
scenes,2058
enough,2042
get,2026
first,2003
isnt,1951
movies,1898
makes,1869
audience,1868
life,1867
performance,1866
kind,1840
rated,1816
although,1802
part,1796
may,1794
well,1792
might,1751
comedy,1749
better,1739
bad,1732
people,1723
made,1712
also,1695
us,1627
love,1627
scene,1591
work,1588
without,1580
plot,1551
year,1537
still,1533
seems,1506
long,1485
violence,1469
great,1453
almost,1432
acting,1420
funny,1419
think,1394
give,1387
every,1382
nothing,1381
action,1379
really,1360
since,1350
minutes,1333
thats,1330
actors,1323
cast,1318
humor,1299
say,1289
real,1288
screen,1284
fine,1277
however,1276
sense,1264
know,1256
music,1244
kids,1229
though,1193
r,1186
another,1181
quite,1171
big,1156
role,1145
going,1138
seen,1135
hard,1122
subject,1120
must,1113
end,1112
excellent,1095
least,1095
screenplay,1084
anything,1083
moments,1080
less,1069
probably,1067
around,1067
last,1065
feel,1064
lot,1057
find,1053
far,1051
right,1045
things,1043
line,1041
take,1031
go,1030
money,1023
come,1012
enjoyable,1011
sex,998
seem,995
comes,995
point,993
times,991
interesting,991
ever,987
making,984
thing,980
motion,967
message,967
new,965
always,953
john,953
rather,947
poor,946
takes,945
man,945
gives,942
often,941
cant,932
world,920
teenagers,907
running,893
perhaps,891
want,880
totally,850
ending,849
meant,841
language,840
yet,840
fun,835
years,833
fact,833
actually,833
cinematography,827
average,827
gets,825
bit,816
plays,816
waste,815
hes,809
didnt,791
performances,784
themes,784
worth,783
profanity,778
worst,777
place,777
watching,776
given,775
back,771
nudity,770
certainly,766
problem,765
top,758
especially,751
viewers,746
original,743
unbearable,741
family,741
opinions,740
found,739
im,737
becomes,735
written,732
done,731
play,730
easy,729
mine,727
different,726
romantic,724
sure,722
someone,718
strong,717
star,715
pg13,715
reflect,714
tale,713
full,712
material,711
expressed,710
set,709
