the,40648
of,18148
and,17460
a,16427
is,14067
to,12809
it,11108
in,9137
for,7487
that,7082
i,6035
movie,5710
with,5248
this,5172
as,5119
but,4835
be,4781
you,4730
film,4349
are,4285
not,4273
one,3817
have,3252
would,2975
show,2964
on,2915
by,2737
was,2616
an,2453
he,2414
his,2374
like,2308
or,2279
at,2268
has,2193
so,2144
its,2077
more,2049
if,2006
my,1999
any,1985
they,1974
all,1952
some,1916
films,1871
most,1790
your,1779
rated,1740
than,1714
will,1701
about,1697
there,1666
see,1658
picture,1560
up,1537
story,1480
just,1464
from,1423
much,1412
can,1371
which,1347
who,1311
dont,1305
no,1258
little,1244
even,1242
what,1240
only,1238
year,1231
look,1196
their,1158
do,1153
script,1146
out,1139
few,1126
me,1116
time,1086
good,1077
her,1070
although,1058
other,1022
kids,1020
too,1010
director,1003
many,989
when,989
movies,967
never,961
r,937
them,932
best,929
excellent,927
we,900
violence,900
characters,881
well,876
been,869
does,865
teenagers,862
must,860
fine,850
had,848
she,841
kind,839
bad,821
give,817
were,815
scenes,813
poor,809
totally,804
money,790
could,779
part,772
enjoyable,766
waste,756
into,756
get,753
scene,742
how,740
think,729
average,729
meant,722
acting,718
mine,711
unbearable,709
language,706
opinions,706
long,704
reflect,700
first,699
0,699
expressed,696
make,693
funny,692
employers,692
audience,688
better,687
almost,670
people,664
may,657
two,652
sex,646
since,632
performance,630
such,617
quite,613
nudity,607
worst,606
runs,606
did,585
top,584
comedy,583
being,581
12,578
music,576
way,573
recommend,570
acceptable,569
great,561
enough,560
character,557
should,553
actors,550
us,549
pg13,546
humor,535
without,528
makes,526
seen,518
probably,506
say,505
love,503
written,498
after,498
isnt,497
these,497
ever,491
know,489
big,468
every,468
those,464
life,462
made,455
age,451
around,450
want,450
ending,439
last,437
1,428
him,427
full,427
cast,425
then,424
before,424
nothing,423
hard,422
both,422
might,416
doesnt,415
plot,415
another,412
very,404
profanity,400
still,397
off,393
end,393
something,391
over,391
parts,389
go,386
gives,385
action,380
thought,379
work,377
old,377
strong,376
plays,359
line,356
where,356
right,354
older,353
our,352
find,351
why,349
really,348
feel,347
lot,346
dialog,345
sexual,345
because,343
cinematography,338
son,337
lines,333
seems,325
pg,324
set,322
gets,321
least,320
fun,318
review,318
jeffrey,317
certainly,317
real,317
through,316
am,316
less,313
brief,313
between,311
word,310
comes,309
found,308
sometimes,308
bit,306
role,303
going,301
liked,300
given,299
perhaps,298
small,298
shows,297
worth,295
come,295
said,292
back,292
here,291
images,290
actually,290
looks,289
times,288
2,286
subject,286
take,286
also,285
down,285
especially,282
rest,282
again,280
same,280
rather,279
award,278
new,278
english,277
problem,276
while,275
screen,272
takes,271
always,267
original,265
john,262
interesting,258
anything,251
gave,251
im,250
star,248
now,248
sure,247
writer,244
high,244
done,241
material,240
yet,240
got,239
10,238
says,237
ones,236
painfully,236
watching,236
easy,236
documentary,235
single,235
need,234
directed,233
special,233
watch,232
seem,230
mature,229
half,225
youre,222
favorite,221
