film,2382
one,1629
like,1334
time,1145
story,998
director,959
even,955
much,915
characters,864
films,859
see,854
make,737
minutes,716
character,715
could,638
also,628
enough,626
may,617
theres,606
subject,604
doesnt,603
would,570
message,563
never,547
good,545
makes,536
details,529
might,528
way,527
two,523
something,519
reply,486
subscribe,486
screenplay,486
running,486
every,472
though,465
seems,461
little,456
first,455
many,447
still,442
work,437
performance,415
kind,405
really,405
sense,404
get,400
rating,398
comedy,395
line,391
isnt,391
mpaa,388
people,387
movie,386
scenes,382
best,374
thats,366
moments,361
script,357
bit,343
made,339
themes,338
profanity,338
without,333
action,333
audience,332
adult,331
dont,326
love,325
big,323
us,320
room,320
know,318
far,315
screen,314
simply,311
life,310
hes,308
well,307
scene,305
real,305
making,300
fact,298
point,295
better,295
another,292
however,290
plot,288
almost,287
quite,284
yet,279
years,276
find,276
seem,271
often,270
right,269
going,267
screening,266
particularly,264
funny,264
thing,263
anything,262
john,260
violence,259
nothing,259
great,258
world,257
comic,256
man,254
feel,254
cant,252
hard,250
least,247
less,244
take,244
long,242
bad,242
feels,241
always,240
things,239
part,238
plenty,238
interesting,235
becomes,234
perhaps,234
role,231
around,230
actors,229
actually,229
moviepage,227
watching,226
situations,226
moment,225
come,221
think,221
give,216
half,213
humor,211
rather,211
say,210
narrative,209
turn,208
show,206
romantic,204
exactly,204
effective,201
sure,199
r,199
viewers,198
im,197
together,197
instead,197
look,196
performances,194
idea,193
takes,193
comes,190
nearly,188
last,187
play,187
family,187
sexual,187
star,186
expect,185
cast,185
david,185
piece,184
turns,184
set,183
drama,183
relationship,182
probably,178
gets,178
hollywood,176
human,176
place,175
ever,174
easy,174
new,172
seen,172
end,172
problem,171
dialogue,169
go,169
given,169
solid,169
playing,169
fun,168
away,167
trying,167
reason,167
entertaining,167
simple,164
certainly,163
didnt,163
lot,163
matter,162
american,161
whether,159
watch,158
since,158
times,156
actor,156
theyre,155
become,155
premise,155
material,153
anyone,153
sequence,153
hour,152
someone,152
youre,151
entirely,151
high,150
fairly,148
plays,146
different,145
worth,144
true,143
keep,143
want,143
including,143
production,142
everything,141
back,141
need,141
gives,141
case,140
clear,140
appealing,140
michael,139
sort,139
movies,138
unfortunately,138
laughs,138
found,138
energy,138
experience,136
pg13,135
shows,135
obvious,135
stories,135
generally,134
thriller,134
course,133
lines,133
works,133
genre,132
tone,131
three,130
appears,130
emotional,130
full,129
filmmaking,129
fine,129
use,128
robert,127
direction,127
whose,127
series,126
nice,126
attempt,125
got,124
elements,123
recent,121
sometimes,121
based,121
men,121
wrong,120
along,120
job,120
romance,119
year,119
question,118
tale,118
acting,117
familiar,117
style,116
either,115
original,115
compelling,115
looks,114
young,114
stuff,113
day,113
extremely,112
certain,112
final,112
heart,110
cinematic,110
everyone,109
impressive,109
chance,109
truly,109
completely,109
level,108
james,108
producers,108
version,108
couple,107
visual,107
put,106
lost,106
next,106
whole,105
several,105
gags,105
left,104
